Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Hungatella.s_Hungatella.hathewayi	NA	NA	-0.52128992	Dairy	0.438549123	0.786921495
ENOG410XRVN	Sodium hydrogen exchanger	Inorganic ion transport and metabolism	-0.48158039	Dairy	0.438549123	0.786921495
ENOG410XPA8		Function unknown	-0.448757561	Dairy	0.438549123	0.786921495
COG1633	Uncharacterized conserved protein	Function unknown	-0.443047432	Dairy	0.438549123	0.786921495
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Eggerthellales.f_Eggerthellaceae.g_Eggerthella.s_Eggerthella.lenta	NA	NA	-0.433921643	Dairy	0.438549123	0.786921495
PF04488	[Glycosyltransferase sugar-binding region containing DXD motif   ]		-0.422609742	Dairy	0.438549123	0.786921495
K01597	diphosphomevalonate decarboxylase [EC:4.1.1.33]	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis	-0.417446156	Dairy	0.438549123	0.786921495
PF10926	[Protein of unknown function (DUF2800)]		-0.395004177	Dairy	0.438549123	0.786921495
K12143	hydrogenase-4 component H	Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism	-0.371621884	Dairy	0.438549123	0.786921495
PF06506	[Propionate catabolism activator]		-0.367830709	Dairy	0.438549123	0.786921495
COG1956	GAF domain-containing protein	Signal transduction mechanisms	-0.331008743	Dairy	0.438549123	0.786921495
K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism	-0.328930267	Dairy	0.438549123	0.786921495
ENOG410Y1E4		Function unknown	-0.290346767	Dairy	0.438549123	0.786921495
COG1819	"Glycosyl transferases, related to UDP-glucuronosyltransferase"	Energy production and conversion|Carbohydrate transport and metabolism	-0.290035957	Dairy	0.438549123	0.786921495
K00018	glycerate dehydrogenase [EC:1.1.1.29]	"Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"	-0.275347894	Dairy	0.438549123	0.786921495
COG1989	"Type II secretory pathway, prepilin signal peptidase PulO and related peptidases"	"Posttranslational modification, protein turnover, chaperones|Cell motility and secretion"	-0.261118523	Dairy	0.438549123	0.786921495
K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	Metabolism; Energy metabolism; Oxidative phosphorylation | Environmental Information Processing; Signal transduction; Two-component system	-0.256782987	Dairy	0.438549123	0.786921495
K08974	putative membrane protein	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	-0.236401133	Dairy	0.438549123	0.786921495
COG1600	Uncharacterized Fe-S protein	Energy production and conversion	-0.230337273	Dairy	0.438549123	0.786921495
ENOG410ZWP3	Transcriptional regulator (AraC family)	Transcription	-0.206125155	Dairy	0.438549123	0.786921495
K06177	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	-0.193914686	Dairy	0.438549123	0.786921495
COG1492	Cobyric acid synthase	Coenzyme metabolism	-0.191861771	Dairy	0.438549123	0.786921495
PF16916	[Dimerisation domain of Zinc Transporter]		-0.144284297	Dairy	0.438549123	0.786921495
K05592	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	"Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"	-0.142024705	Dairy	0.438549123	0.786921495
PF13509	[S1 domain]		-0.117186066	Dairy	0.438549123	0.786921495
COG0054	Riboflavin synthase beta-chain	Coenzyme metabolism	-0.10296983	Dairy	0.438549123	0.786921495
PF00196	"[Bacterial regulatory proteins, luxR family]"		-0.078455048	Dairy	0.438549123	0.786921495
PF05195	"[Aminopeptidase P, N-terminal domain]"		-0.072280343	Dairy	0.438549123	0.786921495
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms	-0.070179277	Dairy	0.438549123	0.786921495
PF01458	[Uncharacterized protein family (UPF0051)]		-0.054777532	Dairy	0.438549123	0.786921495
PF01595	[Domain of unknown function DUF21]		-0.053107176	Dairy	0.438549123	0.786921495
K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	-0.040701383	Dairy	0.438549123	0.786921495
COG0159	Tryptophan synthase alpha chain	Amino acid transport and metabolism	-0.036201432	Dairy	0.438549123	0.786921495
COG0778	Nitroreductase	Energy production and conversion	-0.003273798	Dairy	0.438549123	0.786921495
ENOG410ZY5K	Protein of unknown function (DUF2807)	Function unknown	-0.839693141	Dairy	0.441715129	0.789620895
ENOG4111IWU	Secretory Protein	Function unknown	-0.618692267	Dairy	0.441717489	0.789620895
COG3376	High-affinity nickel permease	Inorganic ion transport and metabolism	-0.763501668	Dairy	0.442332182	0.789620895
ENOG4111KUD	transporter	Function unknown	-0.647869249	Dairy	0.442332182	0.789620895
ENOG4111QK2	Histidine kinase	Signal transduction mechanisms	-0.891570024	Dairy	0.442645381	0.789620895
COG4174	"ABC-type uncharacterized transport system, permease component"	General function prediction only	-0.745858537	Dairy	0.443406737	0.789620895
ENOG4111Q4N	biopolymer transport protein ExbD TolR	Inorganic ion transport and metabolism	-0.614161774	Dairy	0.443406737	0.789620895
ENOG4111JA0		Function unknown	-0.996054597	Dairy	0.444932231	0.789620895
ENOG410XQP6	xylan esterase	Function unknown	-0.945534407	Dairy	0.445732176	0.789620895
K16936	thiosulfate dehydrogenase [quinone] small subunit [EC:1.8.5.2]	Metabolism; Energy metabolism; Sulfur metabolism	-0.901166517	Dairy	0.445732176	0.789620895
ENOG410YBE3	"site-specific recombinase, phage integrase family"	"Replication, recombination and repair"	-1.130727367	Dairy	0.445734026	0.789620895
PF13734	[Spi protease inhibitor]		-0.520238831	Dairy	0.445734026	0.789620895
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes.putredinis	NA	NA	-0.729154307	Dairy	0.447303319	0.789620895
ENOG410ZJNA	ENOG410ZJNA (name not available)	ENOG410ZJNA (path not available)	-0.569197363	Dairy	0.447303319	0.789620895
K18531	putative frv operon regulatory protein	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	-0.477928861	Dairy	0.447303319	0.789620895
ENOG4111ZDW	"Transcriptional regulator, ARAC family"	Transcription	-0.613835468	Dairy	0.447867161	0.789620895
ENOG4111W7E	Transposase (IS4 family protein)	"Replication, recombination and repair"	-0.576154463	Dairy	0.447867161	0.789620895
PF10101	[Predicted membrane protein (DUF2339)]		-0.502702987	Dairy	0.447867161	0.789620895
K12543	"outer membrane protein, adhesin transport system"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	-0.729688749	Dairy	0.448195094	0.789620895
ENOG410XPDP		Function unknown	-0.910434142	Dairy	0.448422678	0.789620895
PF14135	[Domain of unknown function (DUF4302)]		-0.852239257	Dairy	0.448422678	0.789620895
ENOG410YF6D		Function unknown	-0.23452324	Dairy	0.448604598	0.789620895
PF16272	[Domain of unknown function (DUF4925)]		-0.780507892	Dairy	0.448734433	0.789620895
ENOG41125V9	xylose isomerase domaiN-containing protein	Carbohydrate transport and metabolism	-0.593322163	Dairy	0.448734433	0.789620895
ENOG410YZKT	sodium sulfate symporter	Function unknown	-0.499155429	Dairy	0.448734433	0.789620895
COG4470	Uncharacterized protein conserved in bacteria	Function unknown	-0.384940918	Dairy	0.448820939	0.789620895
K17680	twinkle protein [EC:3.6.4.12]	Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	-0.910867702	Dairy	0.448872824	0.789620895
COG1306	Uncharacterized conserved protein	Function unknown	-0.735243676	Dairy	0.448872824	0.789620895
ENOG4111ZQ2		Function unknown	-0.463769647	Dairy	0.448872824	0.789620895
K07570	general stress protein 13	Not Included in Pathway or Brite; Unclassified: genetic information processing; Translation	-0.432713796	Dairy	0.448872824	0.789620895
K02510	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	Metabolism; Amino acid metabolism; Tyrosine metabolism	-0.558265616	Dairy	0.448907406	0.789620895
PF16962	[Putative ABC exporter]		-0.429655924	Dairy	0.448907406	0.789620895
K07749	formyl-CoA transferase [EC:2.8.3.16]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.427774096	Dairy	0.448907406	0.789620895
COG2986	Histidine ammonia-lyase	Amino acid transport and metabolism	-0.382766564	Dairy	0.448907406	0.789620895
PF01578	[Cytochrome C assembly protein]		-0.379389462	Dairy	0.448907406	0.789620895
ENOG410Y2SR	Binding-protein-dependent transport systems inner membrane component	Inorganic ion transport and metabolism	-0.356529175	Dairy	0.448907406	0.789620895
ENOG410YNH5		Function unknown	-0.31936657	Dairy	0.448907406	0.789620895
PF13192	[Thioredoxin domain]		-0.28788567	Dairy	0.448907406	0.789620895
PF03737	[Aldolase/RraA]		-0.252617977	Dairy	0.448907406	0.789620895
PF04357	"[TamB, inner membrane protein subunit of TAM complex]"		-0.243057563	Dairy	0.448907406	0.789620895
K01658	anthranilate synthase component II [EC:4.1.3.27]	"Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Phenazine biosynthesis | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa"	-0.207336479	Dairy	0.448907406	0.789620895
PF19776	[]		-0.204282804	Dairy	0.448907406	0.789620895
COG3279	Response regulator of the LytR/AlgR family	Signal transduction mechanisms|Transcription	-0.194184278	Dairy	0.448907406	0.789620895
PF01643	[Acyl-ACP thioesterase]		-0.162065303	Dairy	0.448907406	0.789620895
PF00854	[POT family]		-0.155345547	Dairy	0.448907406	0.789620895
K09697	sodium transport system ATP-binding protein [EC:7.2.2.4]	Environmental Information Processing; Membrane transport; ABC transporters | Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.142866185	Dairy	0.448907406	0.789620895
K00850	6-phosphofructokinase 1 [EC:2.7.1.11]	"Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Energy metabolism; Methane metabolism | Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis"	-0.138525657	Dairy	0.448907406	0.789620895
COG2099	Precorrin-6x reductase	Coenzyme metabolism	-0.133065406	Dairy	0.448907406	0.789620895
ENOG410XPNQ	"kila-n, D-binding domain"	Function unknown	-0.124572923	Dairy	0.448907406	0.789620895
PF13673	[Acetyltransferase (GNAT) domain]		-0.053834553	Dairy	0.448907406	0.789620895
COG1898	"dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes"	"Cell envelope biogenesis, outer membrane"	-0.051339806	Dairy	0.448907406	0.789620895
K01778	diaminopimelate epimerase [EC:5.1.1.7]	Metabolism; Amino acid metabolism; Lysine biosynthesis	-0.039891756	Dairy	0.448907406	0.789620895
COG2160	L-arabinose isomerase	Carbohydrate transport and metabolism	-0.029997857	Dairy	0.448907406	0.789620895
ENOG4112704	XRE family Transcriptional regulator	Transcription	-0.933160471	Dairy	0.450182627	0.791618754
ENOG410XQ5J		Function unknown	-0.537915683	Dairy	0.450919168	0.792648377
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella.s_Unclassified.Paraprevotella	NA	NA	-1.015176934	Dairy	0.451067334	0.792648377
ENOG410YF6U		Function unknown	-0.880914348	Dairy	0.451067334	0.792648377
ENOG411028W		Function unknown	-0.890011142	Dairy	0.451140426	0.792648377
ENOG410YJ3G	Protein of unknown function (DUF2589)   	Function unknown	-0.772988176	Dairy	0.451140426	0.792648377
ENOG410ZTD8	CDP-alcohol phosphatidyltransferase	Function unknown	-0.746091327	Dairy	0.452043294	0.793989016
COG4127	Uncharacterized conserved protein	Function unknown	-0.688619051	Dairy	0.452284884	0.794331449
k_Viruses.p_Uroviricota.c_Caudoviricetes.o_Caudovirales.f_Siphoviridae.g_Unclassified.Siphoviridae.s_Unclassified.Siphoviridae	NA	NA	-0.704356968	Dairy	0.452713465	0.794787012
ENOG4111NFI		Function unknown	-0.696690646	Dairy	0.453017205	0.794787012
ENOG41124NK	Transcriptional regulator	Transcription	-0.654532787	Dairy	0.453414236	0.794787012
PF03253	[Urea transporter]		-0.549632052	Dairy	0.453836877	0.794787012
ENOG410YC46		Function unknown	-0.792589511	Dairy	0.454547762	0.794787012
ENOG4111U85		Function unknown	-0.794256134	Dairy	0.45626175	0.794787012
ENOG410XQZA	Ragb susd domain-containing protein	Function unknown	-0.760820038	Dairy	0.45626175	0.794787012
ENOG411037S	Transcriptional regulator	Transcription	-0.803909366	Dairy	0.456734919	0.794787012
ENOG410XVCQ	PbH1	Function unknown	-0.113804759	Dairy	0.457198233	0.794787012
PF12985	[Domain of unknown function (DUF3869)]		-0.843537129	Dairy	0.457985809	0.794787012
K04073	acetaldehyde dehydrogenase [EC:1.2.1.10]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Dioxin degradation	-0.653498214	Dairy	0.457985809	0.794787012
ENOG410YGAP	acetyl xylan esterase	Function unknown	-0.939145916	Dairy	0.458373439	0.794787012
ENOG41101IJ		Function unknown	-0.902811021	Dairy	0.458413892	0.794787012
ENOG410YTAG		Function unknown	-0.735082905	Dairy	0.458599432	0.794787012
K13921	1-propanol dehydrogenase	Metabolism; Carbohydrate metabolism; Propanoate metabolism	-0.790601282	Dairy	0.458923328	0.794787012
K11381	2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	"Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"	-0.482401415	Dairy	0.4593689	0.794787012
COG2078	Uncharacterized conserved protein	Function unknown	-0.416697158	Dairy	0.45940313	0.794787012
K01201	glucosylceramidase [EC:3.2.1.45]	Metabolism; Lipid metabolism; Sphingolipid metabolism | Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation | Cellular Processes; Transport and catabolism; Lysosome	-0.414807824	Dairy	0.45940313	0.794787012
K08218	"MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"	Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.39972397	Dairy	0.45940313	0.794787012
COG3407	Mevalonate pyrophosphate decarboxylase	Lipid metabolism	-0.351032083	Dairy	0.45940313	0.794787012
K10202	N-acetylglucosamine transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.347182907	Dairy	0.45940313	0.794787012
K10200	N-acetylglucosamine transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.272599283	Dairy	0.45940313	0.794787012
PF06925	[Monogalactosyldiacylglycerol (MGDG) synthase]		-0.205530705	Dairy	0.45940313	0.794787012
PF04298	[Putative neutral zinc metallopeptidase]		-0.192514986	Dairy	0.45940313	0.794787012
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Holdemania.s_Holdemania.massiliensis	NA	NA	-0.177542448	Dairy	0.45940313	0.794787012
COG1269	Archaeal/vacuolar-type H+-ATPase subunit I	Energy production and conversion	-0.16597614	Dairy	0.45940313	0.794787012
COG4866	Uncharacterized conserved protein	Function unknown	-0.16582885	Dairy	0.45940313	0.794787012
K01834	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"	"Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Organismal Systems; Endocrine system; Glucagon signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"	-0.161233068	Dairy	0.45940313	0.794787012
K07012	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	-0.150411615	Dairy	0.45940313	0.794787012
ENOG4111R75	Membrane	Function unknown	-0.135294286	Dairy	0.45940313	0.794787012
K03587	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	-0.117323958	Dairy	0.45940313	0.794787012
K03584	DNA repair protein RecO (recombination protein O)	Genetic Information Processing; Replication and repair; Homologous recombination | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	-0.117189061	Dairy	0.45940313	0.794787012
COG0053	Predicted Co/Zn/Cd cation transporters	Inorganic ion transport and metabolism	-0.108916568	Dairy	0.45940313	0.794787012
COG0241	Histidinol phosphatase and related phosphatases	Amino acid transport and metabolism	-0.086622025	Dairy	0.45940313	0.794787012
K00942	guanylate kinase [EC:2.7.4.8]	Metabolism; Nucleotide metabolism; Purine metabolism	-0.049077785	Dairy	0.45940313	0.794787012
K00266	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	"Metabolism; Energy metabolism; Nitrogen metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism"	-0.035485922	Dairy	0.45940313	0.794787012
PF17555	[Family of unknown function (DUF5467)]		-0.833818918	Dairy	0.46078802	0.796552179
ENOG4112CIK	Domain of unknown function (DUF3284)	Function unknown	-0.526323094	Dairy	0.46078802	0.796552179
ENOG410Y881		Function unknown	-0.451678691	Dairy	0.460844295	0.796552179
ENOG410ZWBC	"glycosyltransferase, group 2 family protein"	Cell wall/membrane/envelope biogenesis	-0.20874688	Dairy	0.460844295	0.796552179
ENOG4111KII	prtrc system protein e	Function unknown	-0.880014454	Dairy	0.461642409	0.797850731
ENOG410YH15	RteC protein	Function unknown	-0.518248698	Dairy	0.462993678	0.798200456
K08961	chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-1.009224689	Dairy	0.463292429	0.798200456
ENOG41124Q5		Function unknown	-0.51772356	Dairy	0.463292429	0.798200456
ENOG410XTJ6	Carbohydrate binding family 6	Function unknown	-0.729754491	Dairy	0.463985819	0.798200456
K04835	methylaspartate ammonia-lyase [EC:4.3.1.2]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism	-0.634610185	Dairy	0.464403993	0.798200456
COG3034	Uncharacterized protein conserved in bacteria	Function unknown	-0.348501994	Dairy	0.464616977	0.798200456
ENOG410YDIC	SusD family	Function unknown	-0.924919289	Dairy	0.465336762	0.798200456
ENOG410XSUN	Glycosyl Transferase	Function unknown	-0.724642021	Dairy	0.465532549	0.798200456
ENOG4112BX3		Function unknown	-1.216751457	Dairy	0.465922258	0.798200456
ENOG410XSEG	Ragb susd domain-containing protein	Function unknown	-0.795857529	Dairy	0.466927865	0.798200456
ENOG410XQI3	Ragb susd domain-containing protein	Function unknown	-0.751228146	Dairy	0.46705698	0.798200456
ENOG410XTKS	"Efflux ABC transporter, permease protein"	Defense mechanisms	-0.762520336	Dairy	0.467431374	0.798200456
ENOG410ZPQX	STN	Function unknown	-0.693041405	Dairy	0.468163448	0.798200456
PF08338	[Domain of unknown function (DUF1731)]		-0.542322233	Dairy	0.468633142	0.798200456
ENOG41122JK	antitermination factor	Transcription	-0.971365369	Dairy	0.469560377	0.798200456
ENOG410Z4VQ		Function unknown	-0.775174607	Dairy	0.469586621	0.798200456
ENOG4110MXI		Function unknown	-0.921546965	Dairy	0.470001045	0.798200456
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Enterocloster.s_Enterocloster.citroniae	NA	NA	-0.60106463	Dairy	0.470001045	0.798200456
ENOG4111SVA		Function unknown	-0.420143874	Dairy	0.470001045	0.798200456
COG3616	Predicted amino acid aldolase or racemase	Amino acid transport and metabolism	-0.38539772	Dairy	0.470001045	0.798200456
ENOG41122M9		Function unknown	-0.427219546	Dairy	0.470026435	0.798200456
PF17168	[Domain of unknown function (DUF5127)]		-0.649732762	Dairy	0.470034898	0.798200456
COG4469	Competence protein	General function prediction only	-0.462668931	Dairy	0.470034898	0.798200456
PF01996	[F420-0:Gamma-glutamyl ligase]		-0.456446059	Dairy	0.470034898	0.798200456
K11645	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Methane metabolism	-0.405030405	Dairy	0.470034898	0.798200456
PF13941	[MutL protein]		-0.404418272	Dairy	0.470034898	0.798200456
K07720	"two-component system, response regulator YesN"	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	-0.31676472	Dairy	0.470034898	0.798200456
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Coriobacteriales.f_Coriobacteriaceae.g_Unclassified.Coriobacteriaceae.s_Unclassified.Coriobacteriaceae	NA	NA	-0.298987889	Dairy	0.470034898	0.798200456
PF01325	"[Iron dependent repressor, N-terminal DNA binding domain]"		-0.248367947	Dairy	0.470034898	0.798200456
COG3341	Predicted double-stranded RNA/RNA-DNA hybrid binding protein	General function prediction only	-0.239855314	Dairy	0.470034898	0.798200456
K00979	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	-0.234968712	Dairy	0.470034898	0.798200456
PF03279	[Bacterial lipid A biosynthesis acyltransferase]		-0.217991478	Dairy	0.470034898	0.798200456
K03783	purine-nucleoside phosphorylase [EC:2.4.2.1]	Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism	-0.205629056	Dairy	0.470034898	0.798200456
K01258	tripeptide aminopeptidase [EC:3.4.11.4]	Brite Hierarchies; Protein families: metabolism; Peptidases	-0.191153988	Dairy	0.470034898	0.798200456
PF14268	[YoaP-like]		-0.182564102	Dairy	0.470034898	0.798200456
K01926	redox-sensing transcriptional repressor	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	-0.17799831	Dairy	0.470034898	0.798200456
K01215	"glucan 1,6-alpha-glucosidase [EC:3.2.1.70]"	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.176514127	Dairy	0.470034898	0.798200456
PF02952	"[L-fucose isomerase, C-terminal domain]"		-0.163733886	Dairy	0.470034898	0.798200456
PF14897	[EpsG family]		-0.162662909	Dairy	0.470034898	0.798200456
K03698	3'-5' exoribonuclease [EC:3.1.-.-]	Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis	-0.154056282	Dairy	0.470034898	0.798200456
PF04909	[Amidohydrolase]		-0.141069687	Dairy	0.470034898	0.798200456
COG4221	Short-chain alcohol dehydrogenase of unknown specificity	General function prediction only	-0.139075174	Dairy	0.470034898	0.798200456
K01961	"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Lipid metabolism; Fatty acid biosynthesis	-0.138106863	Dairy	0.470034898	0.798200456
K20429	"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]"	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.129864483	Dairy	0.470034898	0.798200456
COG1435	Thymidine kinase	Nucleotide transport and metabolism	-0.118840552	Dairy	0.470034898	0.798200456
COG1696	Predicted membrane protein involved in D-alanine export	"Cell envelope biogenesis, outer membrane"	-0.102193604	Dairy	0.470034898	0.798200456
PF03706	[Lysylphosphatidylglycerol synthase TM region]		-0.086099606	Dairy	0.470034898	0.798200456
PF00984	"[UDP-glucose/GDP-mannose dehydrogenase family, central domain]"		-0.079447345	Dairy	0.470034898	0.798200456
COG4912	Predicted DNA alkylation repair enzyme	"DNA replication, recombination and repair"	-0.07896653	Dairy	0.470034898	0.798200456
PF02885	"[Glycosyl transferase family, helical bundle domain]"		-0.074337875	Dairy	0.470034898	0.798200456
K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	Metabolism; Metabolism of other amino acids; Selenocompound metabolism	-0.070687053	Dairy	0.470034898	0.798200456
COG0739	Membrane proteins related to metalloendopeptidases	"Cell envelope biogenesis, outer membrane"	-0.04873025	Dairy	0.470034898	0.798200456
K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	-0.031839159	Dairy	0.470034898	0.798200456
ENOG410ZATI		Function unknown	-0.620013558	Dairy	0.470045132	0.798200456
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Drancourtella.s_Drancourtella.sp.	NA	NA	-0.27135513	Dairy	0.471377446	0.800303341
